Subject,Gender,Handedness,Condition,TimeAxis,QuantityAxis ,ValenceAxis,TimeDirection,QuantityDirection,ValenceDirection,TimeInterview,TimeTimeline,TimeClock,TimeMaths,TimeNumber,TimeHandedness,TimeWriting,TimeEnvironment,TimeHierarchy,TimePosNeg,TimeBackFront,TimeSimProx,TimeTaskDem,TimeAes,TimeOther,QuantityInterview,QuantityTimeline,QuantityClock,QuantityMaths,QuantityNumbers,QuantityHandedness,QuantityWriting,QuantityEnvironment,QuantityHierarchy,QuantityPosNeg,QuantityBackFront,QuantitySimProx,QuantityTaskDem,QuantityAes,QuantityOther,ValenceInterview,ValenceTimeline,ValenceClock,ValenceMaths,ValenceNumber,ValenceHandedness,ValenceWriting,ValenceEnvironment,ValenceHierarchy,ValenceBackFront,ValenceSimProx,ValenceTaskDem,ValenceAes,ValenceOther
11,Male,Right,2,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal1,Diagonal1,"For this one I just did it on this axis, because I’m used to seeing this axis represent time, and this would be zero, so I just associate this side with future and this side with past, because say when I'm doing my degree and we plot a graph of a sine wave, that's time. There wasn't really a reason why I marked past slightly below the x axis and future slightly above it, because originally I did the same as the one before [valence], so I guess they coincidentally ended up there, maybe because the F was already above that line and the P was already below that line.",no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,"Same as [the valence task] really, because I'm used to these both being positive this way, so that would be the most in total, and if it was a grid with coordinates, the total coordinates would be more of a cline on these two axes, and that would be the most and that would be the least. I suppose on first impulse, the most is the best. I would associate that but it's not always the case.",no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,"Well I suppose because I saw it as an axis, and it doesn’t necessarily mean I think ‘best’ is up there, but I normally associate positive and positive, so the most positive would be the top right, because then they’re both going up, and I don’t know why but we associate higher numbers with positivity even though that’s not always the case at all.",no,no,yes,yes ,no,no,no,no,no,no,no,no,no
12,Male,Right,2,Diagonal,Diagonal,Diagonal,Diagonal1Reverse,Diagonal1,Diagonal2,"I felt like it had to be in the top box, and I just felt like it should be represented over the right, because it’s the future, and the past… So I think the future is in front - to the right. And then P, and with all of these I just felt like they should be on a different line. I don’t know why because I haven’t put the next one on a different line. I feel like if I’d have put future there, it just didn’t feel right. I’m not very good at justification.",no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,"I can’t remember this, but it just felt right to put most on top of least. Maybe it’s a bit to the right of the centre because I’m right handed, I don’t know. It just felt normal to go to the right, which is weird because I started the other two to the right.",no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,"First thing that came to mind was that my English teacher always used to say, you go from top left to bottom right, and it just seemed natural to put worst and best. Apparently you always pick up on top left and bottom right most, I don’t know if that’s true. I don’t think there’s any particular reason why I put them in that order. I knew I was gonna put worst first - I was gonna go here but… I didn’t choose to put best there but I knew I was putting worst there, so I put best there.",no,no,no,no,no,yes,no,no,no,no,no,no,no
13,Female,Right,2,Diagonal,Vertical,Horizontal,Diagonal1,Vertical,Horizontal,"I put the future in that one because I see the future as quite a positive thing, and for me if I was representing positivity or negativity that is the most positive box to me - it’s at the top and it’s to the right. And then for the opposite reason I put the past as quite a negative thing so I put that in what I perceive to be the most negative box. I probably perceived that box as the most positive because it’s at the top and maybe because of my handedness, good stuff goes on the right and bad stuff goes on the left.",no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,"Similar to the mathematical one, really - when you had graphs like this in maths, you start at zero so least in the middle, and most up that axis. It would have made more sense to put least down the bottom but I just ignored that and focused on this axis for some reason - like imagined a graph.",no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,"Again with the positivity and negativity thing, with positive to the right and negativity to the left, I’ve kind of just used the axis for this one, thinking back to when we did maths and stuff - like if we had a graph like this in maths, positive numbers would be there and negative numbers would be there.",no,no,yes,yes ,no,no,no,no,no,no,no,no,yes
14,Female,Right,2,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,"I did it the other way around [the other way to how question is worded] in chronological order: past and future. Instead of it saying ‘future’ and then ‘past’, but I wrote ‘past’ and then ‘future’ because it goes like that in time chronologically. Again, on the line and above the line - I don’t know why that’s a thing but it is.",no,no,no,no,no,no,no,no,no,no,no,yes,no,no,"They’re kind of more central aren’t they? Same basic thing - left to right. I didn’t know whether to do it in the middle or the side (etc.) - you’re not given whether you have to write them on the axes or in the box, so I was just kind of testing the waters. And on the second one I was just like ‘oh it looks like an axes, like one of the ones you have in maths. Also they’re more separate than past and future - past and future and worst and best, they’re clear progressions - there’s more of an incremental scale, whereas least and most are most definite, so if you’ve got the least, you’ve got the least. You haven’t got almost the least - you’ve got the least, and then most you’ve got the most. I think it’s different from best and least - I think there’s varying degrees of best and worst… Maybe most and least is more material - if you’ve got the most apples, you’ve got the most physical apples in front of you, whereas best and worst is a subjective thing, so you could be the best at something in somebody’s eyes, but in someone else’s eyes you might not be, whereas if you’ve got the most pens you’re sat there with like fifty pens and the person next to you has two - they’ve got the least. In that room at the moment, anyway - maybe if you’re saying you’ve got the most pens in the world it would be different and there might be someone with millions of them. That’s really odd - that’s interesting.",no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,"I think probably because on an axis, worst would be one side and best on the other like a gradient. Also because I naturally go from left to right on the page - that’s another reason, I think. I don’t know why I picked the above box - that’s kind of weird. Maybe writing on lined paper has conditioned me to write above lines. I think we should get rid of lined paper and just write everywhere.",no,no,no,no,no,yes,no,no,no,no,no,no,no
15,Male,Right,2,Horizontal,Diagonal,Diagonal,Horizontal,Diagonal2Reverse,Diagonal1,"I disregarded these two squares and imagined a timeline, and timelines in my mind are straight even though they might not be. And generally forwards is on the right and backwards is on the left. I didn’t use the line because generally if there’s a space I just want to fill it, especially if I’m voting - I’ll do a big cross in the box. It wouldn’t look as aesthetically pleasing if I did a small P and a big F.",yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,"I imagined it as a scale. There wasn’t that much thought process behind it but this’d be the most there and it would snake round to there. There wasn’t much thought process behind it, I just imagined it going kind of like a zig zag. Maybe because the top left square is the one I’d look at straight away, and I usually imagine a scale going from highest to lowest. I don’t know why because a lot of them go from lowest to highest. I was gonna say because it said ‘most to least’ but it doesn’t, it says ‘least’ and ‘most’. That’s probably the opposite of the way I would normally do it, but yeah, just because that was the first one I saw, and for some reason I picked it going from most to least.",no,no,no,no,no,no,no,no,no,no,no,yes,no,no,"I’m not so sure. I imagine it as a graph and it’s a diagonal scale, and then that’d be the lowest and that would be the highest, and going that way because graphs don’t normally go that way unless they’re going downwards.",no,no,yes,no,no,no,no,no,no,no,no,no,no
16,Female,Right,2,Horizontal,Horizontal,Vertical,Horizontal,Horizontal,Vertical,"Because it’s like a timeline, future this way and past this way, horizontally again.",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"I was just between doing it like that and the vertical way, but I went for that way, I’m not really sure why. That’s really unhelpful, I know. I guess it’s because if you write numbers in a line, one would be here and ten would be there - you wouldn’t write it vertically, you’d write numbers horizontally.",no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,"I guess if it was a list of top things, the best would come first and the worst last - or maybe it would be the other way round, now that I’m thinking about it. Because if you’re having a countdown, one comes last doesn’t it? But that’s what I put anyway, but I think of it more as a list thing than a horizontal thing.",no,no,no,no,no,no,no,no,no,no,no,no,no
17,Male,Right,2,Diagonal,Vertical,Vertical,Diagonal1 ,VerticalReverse,VerticalReverse,"It’s only future is at the top because that is something that is yet to come, so the future is above us and ahead of us, so in that sense past is behind or below us. Not really sure why I’ve ended up doing it diagonally, but I just felt like the other diagonal option, or the vertical option, just didn’t sit right. And horizontal was completely out of the question, in the sense that future is ahead and past is behind, there had to be some sort of up and down spectrum on it as well rather than just across, so I think that’s why I’ve gone for that sort of scenario right there.",no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"So similar to the second one [best vs. worst], they’re both either end of the spectrum, so they both go at the very edge of the quadrant, or the very edge of the axis. Same again, my gut instinct said least had to go at the top and most had to go at the very bottom. I think, and I’m not sure why, but that’s just how it seemed to sit. I wouldn’t have most at the top and I wouldn’t have least at the bottom, but likewise, compared to that one and the one before, there wasn’t really a horizontal option in my gut instinct - nothing sat on a horizontal axis at all; it was all vertical.",no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,"The instructions said go with your gut instinct, and straight away I put worst at the top. Not sure why but in the same sense that future and present were on an up-and-down spectrum as well, I felt like worst had to be one end of the spectrum and best had to be the other. Am I allowed to compare to the previous answers? Because in that one, future and past, they aren’t superlative entities - there is a far future and a near future, whereas these are in a sense. So whereas these are positioned in the middle of the quadrants, these are right at the end, but my gut instinct said they had to be on a vertical axis rather than diagonal.",no,no,no,no,no,no,no,no,no,yes,no,no,yes
18,Female,Left,2,Vertical,Diagonal,Vertical,VerticalReverse,Diagonal1,Vertical,"I don’t really know why I did that. I put future slightly in front of past, but then I don’t really know why I put them in the quadrant or like that. I just kind of did. I thought that future would be in front of past so I put it slightly in front of past, but I don’t know why I put it lower down or in the top quadrant. I feel like they were both important so I put them in the top bit. I think the top bit is more important - I don’t know why. I suppose it’s like higher.",no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,"I thought L for left so I put it on the left side, but I also thought that least is worth less than most would be, or you have less stuff so it’s lower down and fewer, which is what I associate it with, so I put M slightly higher than L and on the right-hand side. I don’t know why both were on the bottom half. No, I don’t think there was a reason. I just wanted most to be higher but then I feel like I didn’t put… Maybe because. I have no idea why I did that.",no,no,no,no,no,no,no,no,no,no,no,no,no,no,"Well, I thought best would go in the middle at the top, because it’s the best and worst would go down low because it’s really bad. Like if you’re the best, you’re better, you’re higher than everyone else and if you’re the worst you’re below everyone else, so that’s why I put it like that. And I put them both in the middle because I feel like they have a correlation to each other.",no,no,no,no,no,no,no,no,no,yes,no,no,no
19,Female,Left,2,Horizontal,Vertical,Vertical,Horizontal,Vertical,Vertical,"It’s like a timeline, so from the past to the future, and it’s the way that we write as well - we go from the past to the future across the axis.",yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,"I would associate least with being the bottom of something, and most at the top, so if you had some sweets and you were ordering how many sweets you had, you’d start from the bottom, from the least amount up to the most.",no,no,no,no,no,no,yes,no,no,no,no,no,no,no,"I put best at the top because I would associate something that is the best as being higher up on a scale and the worst being lower down on a scale, so lower.",no,no,no,no,no,no,no,no,no,no,no,no,no
20,Male,Right,2,Horizontal,Diagonal,Vertical,Horizontal,Diagonal1,Vertical,"Because it kind of looks like it’s a timeline going that way, so the past would be on the left and the past would be on the front, on the right. So I think the right is the front, and it’s going that way, like a timeline.",yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,"Normally in maths, things go from the bottom left up to the top right, so if it’s increasing it’s going up diagonally across, so the least would be bottom left and most would be top right.",no,no,yes,no,no,no,no,no,no,no,no,no,no,no,"I suppose it’s because normally the top’s the best and bottom’s the worst. So like you’d normally say you scored the best score, so you scored the top score, and if you scored the worst score you scored the bottom score. Like top of the class, bottom of the class, best and worst of the class - that sort of thing.",no,no,no,no,no,no,no,no,no,no,no,no,no
21,Female,Right,1,Horizontal,Vertical,Diagonal,Horizontal,Vertical,Diagonal1,"Because imagine zero’s in the middle on an axis, so this is negative numbers, so that would be in the past, and this is positive numbers. Like minus the time and then plus the time.",no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,"The same answer, really, [as past and future] but I put it up there and down here, because up means most and down means least in terms of numbers. Because if you put it up the axis that’s more so that’s most.",no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,"I did this one because as this one goes up, this one goes up, like a correlation. So up here would be the best, and down here would be the worst - a correlation.",no,no,yes,no,no,no,no,no,no,no,no,no,no
22,Female,Right,1,Horizontal,Vertical,Diagonal,Horizontal,Vertical,Diagonal1,"Because it’s like a timeline so when you have a timeline of events, it’s normally in chronological order, so left to right.",yes,no,no,no,no,no,no,no,no,no,no,no,no,no,I don't know. I think when you think of most… I don’t really know to be honest. I guess when you have a beaker of squash or something you think of most as being full and least is empty.,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,"Best is the top and I think if you look at an axes and you think the best is the top at both points, so the worst would be the opposite. Because if you’re the best you’re first, I don’t know, you’re top of your game. I don’t really know. This one’s different to most and least. I think when you’re thinking about most and least it’s more categorical and empirical, whereas if you’re thinking about best and worst there are more factors that contribute towards why something's the best and why something’s the worst, so I thought it was more of a correlation type thing.",no,no,yes,no,no,no,no,no,no,no,no,no,yes
23,Female,Right,1,Horizontal,Horizontal,Diagonal,Horizontal,HorizontalReverse,Diagonal2Reverse,"For this one, I just put future first because I was thinking in the future I’d put that one first, and then past second, because I associate it as coming after the future. I don’t know; that one’s really confusing, because I always associate the past as going backwards, so you’re looking backwards into the past, even though I know the future comes after the past.",no,no,no,no,no,no,no,no,no,yes,no,no,no,no,"For this one I don’t think there was anything conscious that really made me do it. I did most in this one and least in this one because it’s kind of just how I read it, like I kind of just thought that’s how I’d put it on the paper. Because I read most first and least second, I just put the M in the box that was closer to me, and L in the box next to it.",no,no,no,no,no,no,no,no,no,no,no,yes,no,no,"I think I probably marked best on this one because I associate best with being ranked highly in things and stuff like that, so that’d be on the top, because it’s better, and then worst was on the bottom, below this one. I’m not too sure why I put them adjacent to each other like that.",no,no,no,no,no,no,no,no,no,no,no,no,no
24,Male,Right,1,Diagonal,Vertical,Diagonal,Diagonal1,Vertical,Diagonal2Reverse,"I don’t know. Past probably because… past is on the left and future is on the right. Past is in the middle. I don’t know - I guess I was thinking pretty neutral about the past and I was thinking more positively about the future ahead so I put it higher up, because I think higher means better, so I guess it’s an optimistic future rather than just a neutral past. I don’t know why I think higher is more positive, no. I don’t know why I put it like that. I don’t know. I just put it up there because I think it’s better. I think middle is neutral, bottom is negative and that’s why I put worst at the bottom, and future is higher up. I think it’s just because when you read and stuff that comes first and that’s the most important. If you have a headline, it’s at the top - most important - and less important information comes at the bottom, so I guess it’s just instinctive to put better stuff at the top and worse stuff at the bottom.",no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,"I think most at the top because I’ve seen that as higher, better and least at the bottom because it’s most negative, and I don’t know why but I see the values of most and least - most is obviously more positive and least is more of a negative, and if you see it as an actual thing, you see most things as what you want, and least amount of things as what you don’t want, so I put them high and low. And with ‘most desirable’ or whatever, if you use it as an adjective, it’s more positive. That’s why I put that at the top. There’s no reason why I put it to the left - I don’t know why, I guess it should be the same as the first one but for some reason I put it on the left-hand side. I don’t really know why that is. I don’t know if it’s because I wanted to do something different.",no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,"I guess it’s because best is higher up and worst is lower down, so best means you’ve achieved higher and worst means you’ve achieved lower, therefore I put best at the top and worst at the bottom. And top left because it’s closer than worst and bottom right because it’s further away. That makes sense because they’re opposite to each other. If they’re closer it means they’re more similar and with best and worst they’re opposite, so they’re as far away as possible.",no,no,no,no,no,no,no,no,no,yes,no,no,no
25,Female,Right,1,Horizontal,Horizontal,Diagonal,Horizontal,HorizontalReverse,Diagonal2Reverse,"The future is going that way [right] - going ahead. And the past is [left], I think, for that one. I think it’s like that because the future is forward - I really don’t know. I don’t know if it’s because it was past and future with ‘past’ first so I did it like that. That might have been why, to be honest.",no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,"Least is smaller, so I put that first, because it’s least - it’s like a scale, with least and most. That’s what I’d say for that one.",no,no,no,no,no,no,no,no,no,no,no,no,no,no,"I think I put best there because best is on top, because it’s better to be best - it’s first place, and worst is at the bottom. I don’t know why I did it diagonally, actually. It just looked a bit nicer on the page.",no,no,no,no,no,no,no,no,no,no,no,yes,no
26,Female,Right,2,Horizontal,Horizontal,Diagonal,Horizontal,Horizontal,Diagonal2,"The same reason as the last one was why I put those letters there, but then I did think, shall I put past first, as in on the left, and then future second and on the right, but then I thought ‘no, I’m overthinking it’ and went with the same logic as for the second one, so that was why I put that one there.",no,no,no,no,no,no,no,no,no,no,no,no,no,yes,"I thought a bit more about this one and thought ‘why put it on two different levels, why not just keep it on the same level?’ and then again because least was presented first I put the L first and then the M second reading from left to right because that’s what felt natural. I didn’t write on the x axis because I didn’t want to write on the lines - I don’t know why, I just wanted to write in the middle of the boxes and writing on the top felt like the right place to start.",no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,"I think I started in the top half because it just seemed right to start in the top half, and then write in the bottom half second, because the words were given to me as worst and then best, that’s why I went worst first and then went best second, and put that beneath.",no,no,no,no,no,no,no,no,no,no,yes,no,no
27,Female,Right,1,Diagonal,Diagonal,Vertical,Diagonal1,Diagonal2Reverse,Vertical,"Future I guess is right because that’s where you go - I don’t know, maybe that’s because I’m right handed. So I think the future is that way, whereas the past is kind of to the left at the bottom - that’s gone, whereas with the future, I’m like ‘yeah, I’m going there’. I don’t know why I put them in the corners - maybe because the top is the future because that’s where you’re headed, whereas the past - that’s happened, it’s gone, so I put it lower down. I guess I could have put it in there, because past and future and the past is before, but I just put it at the top, because that’s where you’re headed.",no,no,no,no,yes,no,no,no,no,no,no,no,no,no,"Because with most, you think of it as the top, at the top, and I guess I put it on the left because it’s the first thing, so I don’t know, I was going for the left and then the least was at the bottom, then to the right because that would be the last. I think most is the first thing because I was just going from left to right, really. I thought if most is the best then it’s the highest and my instinct was to put it on the left. Because if it was the most then that’d be the first, and if it was second then it wouldn’t be the most, so that’s got to be first.",no,no,no,no,no,no,no,no,yes,no,no,no,no,no,"Kind of similar to the ‘most’ thing, I think. The best is at the top, it’s gonna be the first thing you go to, and worst - I thought too much about that; I thought, ‘should I put it in this one, or should I put it in the left one’, but again I guess I put it directly underneath best, because that’s best and that’s worst - there was no reason, really, for me to put it diagonally across so I put it directly under I think.",no,no,no,no,no,no,no,no,no,no,no,no,yes
