ID,Handedness,Gender,Type,ConceptOrder,Resp,Axis,Pixel,Exp1,Exp2,Exp3,Exp4
S10,Right,Male,N,4,9,y,196,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,Q,1,least,x,206,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,Q,1,least,y,208,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,Q,2,less,x,466,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,Q,2,less,y,197,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,Q,3,more,x,306,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,Q,3,more,y,288,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,Q,4,most,x,476,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,Q,4,most,y,596,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,V,1,worst,x,343,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,V,1,worst,y,641,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,V,2,worse,x,587,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,V,2,worse,y,447,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,V,3,better,x,613,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,V,3,better,y,256,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,V,4,best,x,352,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S10,Right,Male,V,4,best,y,312,N/A,"I believe that with these the placement was with ""worst"" the lowest and ""best"" the highest with the other two words in between, it seemed the most natural arrangement.",I think that the placement on these was random.,"I believe that these were placed in ascending order, with 9 at the top and 2 at the bottom."
S100,Right,Female,N,1,2,x,589,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,N,1,2,y,601,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,N,2,4,x,539,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,N,2,4,y,548,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,N,3,7,x,439,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,N,3,7,y,424,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,N,4,9,x,385,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,N,4,9,y,363,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,Q,1,least,x,44,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,Q,1,least,y,669,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,Q,2,less,x,114,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,Q,2,less,y,595,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,Q,3,more,x,254,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,Q,3,more,y,460,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,Q,4,most,x,396,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,Q,4,most,y,358,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,T,1,earliest,x,385,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,T,1,earliest,y,372,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,T,2,earlier,x,458,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,T,2,earlier,y,542,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,T,3,later,x,561,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,T,3,later,y,680,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,T,4,latest,x,715,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,T,4,latest,y,726,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,V,1,worst,x,669,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,V,1,worst,y,732,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,V,2,worse,x,654,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,V,2,worse,y,602,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,V,3,better,x,506,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,V,3,better,y,500,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,V,4,best,x,377,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S100,Right,Female,V,4,best,y,371,I was thinking that most would be in the center where least likely would be outside of the circle.,I was thinking of a bullseye target where the best is in the center.,"I was thinking of arriving on time being a positive, so those being inside the circle.",I was thinking of a bullseye target and the most points being at the center.
S101,Right,Male,Q,1,least,x,371,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,Q,1,least,y,687,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,Q,2,less,x,375,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,Q,2,less,y,565,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,Q,3,more,x,377,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,Q,3,more,y,478,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,Q,4,most,x,386,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,Q,4,most,y,345,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,T,1,earliest,x,238,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,T,1,earliest,y,100,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,T,2,earlier,x,614,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,T,2,earlier,y,159,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,T,3,later,x,577,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,T,3,later,y,587,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,T,4,latest,x,658,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,T,4,latest,y,485,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,V,1,worst,x,206,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,V,1,worst,y,625,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,V,2,worse,x,271,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,V,2,worse,y,534,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,V,3,better,x,331,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,V,3,better,y,455,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,V,4,best,x,392,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S101,Right,Male,V,4,best,y,341,"Most seemed more appropriate in the middle of the circle, where as close to the edge seemed to resemble less.","Best seemed to me, most logical in the center of the circle with the worst working its way towards the edge.","I thought of earlier and earliest as being like the 'rising' points on the circle, where later and latest seemed as though they should be descending.",I don't remember this task.
S102,Right,Female,N,1,2,x,371,Arranged them with an ascendiing order,Arranged them in order of relevance,N/A,I arranged from the  lowest to highest number
S102,Right,Female,N,1,2,y,654,Arranged them with an ascendiing order,Arranged them in order of relevance,N/A,I arranged from the  lowest to highest number
S102,Right,Female,N,2,4,x,358,Arranged them with an ascendiing order,Arranged them in order of relevance,N/A,I arranged from the  lowest to highest number
S102,Right,Female,N,2,4,y,603,Arranged them with an ascendiing order,Arranged them in order of relevance,N/A,I arranged from the  lowest to highest number
S102,Right,Female,N,3,7,x,318,Arranged them with an ascendiing order,Arranged them in order of relevance,N/A,I arranged from the  lowest to highest number
